user_id,anime_id,rating
49711,19315,7
29467,8876,7
7226,2025,8
65680,21855,9
58314,1808,5
37186,13535,7
60345,3455,8
67374,21185,9
16817,12189,8
29272,2784,4
20700,6045,9
68196,5298,8
11601,3782,8
20427,13055,5
72422,14345,4
7714,770,10
11436,12317,9
62220,22663,4
23247,2951,9
46764,18767,4
31763,18095,7
6134,6205,6
35356,7152,7
40514,23121,9
55442,1484,7
43393,20939,9
72191,9253,10
20137,19815,8
40200,10162,9
32265,6811,5
61560,6746,10
32383,2966,5
41228,4726,6
24545,270,7
48447,523,7
71908,12929,8
58539,10209,8
60730,936,6
58896,898,7
41604,10638,8
56775,11701,8
67509,2787,8
6077,48,7
62437,21659,10
3029,19429,7
11247,5034,8
13609,22101,8
71411,11235,8
9032,8187,10
12261,31240,8
65476,227,9
6972,4662,7
54199,133,9
54987,1033,7
58634,10379,7
70839,21677,8
55334,2025,10
19141,31240,10
45904,18745,6
15427,9989,10
226,14513,9
6563,1142,9
68730,5081,10
58223,3457,6
19502,20159,8
6417,14813,9
25345,9941,9
14901,29974,5
27234,73,6
11113,25303,6
33557,21327,8
58719,2237,5
14645,28105,8
50305,9989,9
30161,26349,7
24429,3588,8
45539,223,10
51938,4472,9
26613,11079,9
14294,2476,7
56466,5680,10
21586,14741,8
53976,33028,7
38837,263,10
50143,1033,7
11918,6945,10
40478,4080,7
65868,3956,6
7248,464,5
48720,20021,7
28954,898,7
54921,323,8
22448,1021,6
10760,738,8
13777,14467,9
55530,732,6
54868,30240,7
67099,1889,8
30590,897,5
31674,22507,9
36749,33222,6
23715,6746,6
395,3667,7
59652,1184,7
55244,22877,7
34249,31964,8
49127,17074,8
46470,13663,7
13877,6572,5
14024,7817,8
65265,24703,10
43889,13663,10
49146,189,10
27532,1654,10
27482,31756,7
70088,11617,7
54935,2131,6
51674,10629,7
25730,7338,8
59182,1292,9
7536,603,5
58708,61,8
31557,2025,9
49095,10087,9
32807,30,8
24817,15417,10
71792,4713,6
14285,9367,7
13494,21939,10
48678,12293,7
45269,6880,9
14407,3455,7
60674,30123,6
66863,8465,10
16497,10790,5
32631,17777,8
26058,121,8
40912,147,6
51001,790,9
11000,384,9
10932,20787,6
2200,7561,7
52609,2596,9
28434,4618,7
27169,9756,10
30238,4282,9
24543,469,5
50553,1888,8
35084,10588,9
40474,28495,7
45388,4224,9
60020,846,6
17888,10620,9
53112,3958,7
12771,11013,9
50625,1530,9
52648,2166,8
7266,2312,5
47353,6347,10
51307,462,8
69341,19769,4
67141,6351,9
56972,4725,8
57445,155,10
42835,21511,7
70926,25013,9
25114,415,7
39266,8769,8
4468,18153,7
38445,1067,6
73500,5525,8
59758,457,9
51115,1827,7
10145,889,10
65043,22319,8
43637,11887,10
64405,15487,10
64437,16934,8
43535,12231,9
34259,28623,7
54401,5252,8
57943,740,7
8221,1472,7
58760,2437,6
17324,18295,8
56582,10611,4
22256,12471,8
28194,136,9
48810,2593,7
45012,22689,7
34796,19051,7
38,23233,3
22844,22225,6
9633,3053,8
15793,6927,7
19232,5525,10
57787,1,8
71121,21603,10
19056,8769,8
18517,5114,8
29812,12883,9
25974,1965,10
61822,7674,7
7180,2407,8
54380,5356,7
64501,915,6
13877,291,5
47031,10521,7
25295,249,8
45181,6682,4
7512,1887,7
2549,31043,8
16180,7088,7
27925,10491,6
28110,1535,9
68534,195,8
56130,23233,7
3557,10719,8
34749,32792,9
51465,2787,8
67389,1824,7
8044,161,7
30068,8861,9
14858,269,9
55118,855,8
3117,20785,7
20044,1575,8
12239,61,10
32496,8676,7
41308,6574,8
46675,16011,9
43749,32281,6
51495,1302,7
25186,31297,6
66741,6675,10
11933,10020,8
45613,1303,8
16699,15963,9
29032,462,9
53061,22297,7
36740,10456,5
3580,25159,9
34965,10711,7
62778,11499,7
54619,23281,5
29440,8909,9
26251,7817,8
